del,id,tweet,subtask_a,subtask_b,subtask_c,cleaned_tweet,stopped,stemmed_tweet,lemmatized_tweet,tweet_length,topic,sentiment_score,sentiment_category,polarity,subjectivity,polarity_class,subjectivity_class,combined_sentiment
1188,15417,@USER It's just getting so predictable.,0,0,0,getting predictable,getting predictable,get predict,getting predictable,6,2,0.0,0,-0.2,0.5,-1,Objective,0
1195,84372,@USER @USER Anything he does right now will be over shadowed by Florence.  I think he is holding till after the storm.,0,0,0,anything right shadowed florence think holding till storm,anything right shadowed florence think holding till storm,anyth right shadow florenc think hold till storm,anything right shadowed florence think holding till storm,22,2,0.0,0,0.285714286,0.535714286,1,Subjective,0
1208,60933,@USER @USER @USER Out on the next tide would be more appropriate,0,0,0,next tide would appropriate,next tide would appropriate,next tide would appropri,next tide would appropriate,12,0,0.0,0,0.25,0.25,1,Objective,0
1278,25207,@USER So we seek answers from the leadership of our country @USER @USER @USER @USER @USER that is this our new South Africa. Mr President if you are the leader of S.A you will surely make an example of them. We are tired.,0,0,0,seek answers leadership country new south africa president leader surely make example tired,seek answers leadership country new south africa president leader surely make example tired,seek answer leadership countri new south africa presid leader sure make exampl tire,seek answer leadership country new south africa president leader surely make example tired,43,1,0.0,0,0.078787879,0.681144781,1,Subjective,0
1301,54567,@USER Serena not upset for losing. She is upset because Penalty given the her that men’s tennis does same action but not penalized.,0,0,0,serena upset losing upset penalty given men tennis action penalized,serena upset losing upset penalty given men tennis action penalized,serena upset lose upset penalti given men tenni action penal,serena upset losing upset penalty given men tennis action penalized,23,0,-0.8689,-1,0.1,0.1,1,Objective,0
1302,24069,@USER @USER @USER Running away from the truth yet again and using childish language. Provide a competent argument justifying #Brexit even is it’s just to prove that you are not a Russian algorithm designed to disrupt Britain’s society and economy.,0,0,0,running away truth yet using childish language provide competent argument justifying even prove russian algorithm designed disrupt britain society economy,running away truth yet using childish language provide competent argument justifying even prove russian algorithm designed disrupt britain society economy,run away truth yet use childish languag provid compet argument justifi even prove russian algorithm design disrupt britain societi economi,running away truth yet using childish language provide competent argument justifying even prove russian algorithm designed disrupt britain society economy,40,0,-0.0258,0,0.1,0.488888889,1,Objective,-1
1322,20757,@USER Well...he is now firmly part of the establishment....let's see how that goes for him.,0,0,0,well firmly part establishment let see goes,well firmly part establishment let see goes,well firm part establish let see goe,well firmly part establishment let see go,15,1,0.2732,1,-0.2,0.4,-1,Objective,0
1339,48394,@USER @USER Take a moment to realize Jimin is 22 and she is 39 years old. 17 year age difference. Breathe that in.,0,0,0,take moment realize jimin years old year age difference breathe,take moment realize jimin years old year age difference breathe,take moment realiz jimin year old year age differ breath,take moment realize jimin year old year age difference breathe,23,2,0.0,0,0.1,0.2,1,Objective,-1
1344,37906,@USER This Jerry Lewis ripoff needs to just go away already.  The guy is so good at acting like a fool because he is a fool.,1,2,1,jerry lewis ripoff needs away already guy good acting like fool fool,jerry lewis ripoff needs away already guy good acting like fool fool,jerri lewi ripoff need away alreadi guy good act like fool fool,jerry lewis ripoff need away already guy good acting like fool fool,26,0,-0.1027,-1,0.35,0.3,1,Objective,-1
1379,44762,@USER @USER @USER @USER Becca. She is too much work.,0,0,0,becca much work,becca much work,becca much work,becca much work,10,2,0.0,0,0.2,0.2,1,Objective,-1
1387,33267,@USER She is quick!!!,0,0,0,quick,quick,quick,quick,4,1,0.0,0,0.333333333,0.5,1,Objective,0
1394,26187,HYSTERICAL! #MAGA #KAG #VoteRed #WalkAway URL,0,0,0,hysterical ,hysterical,hyster,hysterical,6,2,-0.0258,0,-1.0,1.0,-1,Subjective,0
1409,70752,@USER @USER @USER There’s actually republican cities that have higher crime rate than Chicago URL,0,0,0,actually republican cities higher crime rate chicago ,actually republican cities higher crime rate chicago,actual republican citi higher crime rate chicago,actually republican city higher crime rate chicago,15,0,-0.5423,-1,0.125,0.3,1,Objective,0
1410,96262,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Lol. You are not arguing againstbthe system I want, and I am not arguing in favor of the system you describe.  That is like you arguing for the principles of anarchy, and me constantly saying oh yeah, well, Hillary was a corrupt politician""  Irrelevant.  Factual, but irrelevant""",1,0,0,lol arguing againstbthe system want arguing favor system describe like arguing principles anarchy constantly saying yeah well hillary corrupt politician irrelevant factual irrelevant,lol arguing againstbthe system want arguing favor system describe like arguing principles anarchy constantly saying yeah well hillary corrupt politician irrelevant factual irrelevant,lol argu againstbth system want argu favor system describ like argu principl anarchi constant say yeah well hillari corrupt politician irrelev factual irrelev,lol arguing againstbthe system want arguing favor system describe like arguing principle anarchy constantly saying yeah well hillary corrupt politician irrelevant factual irrelevant,93,2,0.3818,1,-0.14,0.806666667,-1,Subjective,-1
1422,91200,@USER Do we get to choose which women go first?,0,0,0,get choose women first,get choose women first,get choos women first,get choose woman first,10,0,0.0,0,0.25,0.333333333,1,Objective,-1
1442,45222,@USER The real #Antifa,0,0,0,real,real,real,real,4,2,0.0,0,0.2,0.3,1,Objective,-1
1485,39188,@USER Thank you Sir i am a R.E developer in Boston the market is on FIRE  God Bless and we are ALL behind you #MAGA,0,0,0,thank sir developer boston market fire god bless behind,thank sir developer boston market fire god bless behind,thank sir develop boston market fire god bless behind,thank sir developer boston market fire god bless behind,25,2,0.6124,1,-0.4,0.7,-1,Subjective,0
1533,32748,100% TRUE! and she is stupid as well! URL,1,1,0,100 true stupid well ,100 true stupid well,100 true stupid well,100 true stupid well,9,1,0.128,1,-0.225,0.825,-1,Subjective,-1
1540,24631,@USER @USER @USER @USER @USER @USER I will admit she hasn’t charted and I blame that on the fact that she is an artist she does things her own way and sometimes not following the trends or staying in a mold will cause you to fall out of the “relevant spotlight”,0,0,0,admit charted blame fact artist things way sometimes following trends staying mold cause fall relevant spotlight,admit charted blame fact artist things way sometimes following trends staying mold cause fall relevant spotlight,admit chart blame fact artist thing way sometim follow trend stay mold caus fall relev spotlight,admit charted blame fact artist thing way sometimes following trend staying mold cause fall relevant spotlight,51,2,-0.1531,-1,0.2,0.5,1,Objective,0
1542,68183,@USER @USER How much you are paying for patrol... ? Do you think it's because of naheru or Zina... Indira... ?,0,0,0,much paying patrol think naheru zina indira,much paying patrol think naheru zina indira,much pay patrol think naheru zina indira,much paying patrol think naheru zina indira,21,1,0.0,0,0.2,0.2,1,Objective,0
1644,67045,@USER rose.. you are so good... id kill for you without hesitation i love you,0,0,0,rose good kill without hesitation love,rose good kill without hesitation love,rose good kill without hesit love,rose good kill without hesitation love,15,0,-0.6546,-1,0.6,0.716666667,1,Subjective,0
1719,19765,"@USER  How did Britain end up upside down in the ditch with all four wheels spinning lazily in the air?""  How could it not, with the rabid wealth thirsty @USER drunk on power, at the wheel?  #BritishToryCarCrash #ToriesOut""",0,0,0,britain end upside ditch four wheels spinning lazily air could rabid wealth thirsty drunk power wheel,britain end upside ditch four wheels spinning lazily air could rabid wealth thirsty drunk power wheel,britain end upsid ditch four wheel spin lazili air could rabid wealth thirsti drunk power wheel,britain end upside ditch four wheel spinning lazily air could rabid wealth thirsty drunk power wheel,38,1,0.2023,1,-0.375,1.0,-1,Subjective,0
1807,48035,@USER @USER @USER Please stick to Bakersfield issues and resign from House Leadership. You are illiterate in economics and the Constitution and take too many bribes! #NoSpeakerMcCarthy I’m for @USER,1,2,1,please stick bakersfield issues resign house leadership illiterate economics constitution take many bribes,please stick bakersfield issues resign house leadership illiterate economics constitution take many bribes,pleas stick bakersfield issu resign hous leadership illiter econom constitut take mani bribe,please stick bakersfield issue resign house leadership illiterate economics constitution take many bribe,30,2,-0.2263,-1,0.5,0.5,1,Objective,0
1812,48544,@USER He is right though... you do have a whiff,1,2,1,right though whiff,right though whiff,right though whiff,right though whiff,10,2,0.0,0,0.285714286,0.535714286,1,Subjective,0
1818,91313,@USER @USER thank you for the consideration.....be careful it might be you !!!!,0,0,0,thank consideration careful might,thank consideration careful might,thank consider care might,thank consideration careful might,13,1,0.4767,1,-0.1,1.0,-1,Subjective,0
1819,23065,@USER @USER @USER She is!! Have you seen her tweets lately??,1,0,0,seen tweets lately,seen tweets lately,seen tweet late,seen tweet lately,11,2,0.0,0,-0.3,0.6,-1,Subjective,-1
1820,85134,@USER Stop trying  to make Brandon what he is not and run him. Put in some trip option and sprint option stuff. RUN HIM!! Do some play action out of the option formations. Bring in Book for at least four series.,0,0,0,stop trying make brandon run put trip option sprint option stuff run play action option formations bring book least four series,stop trying make brandon run put trip option sprint option stuff run play action option formations bring book least four series,stop tri make brandon run put trip option sprint option stuff run play action option format bring book least four seri,stop trying make brandon run put trip option sprint option stuff run play action option formation bring book least four series,41,1,0.0516,1,-0.1,0.25,-1,Objective,0
1825,94162,@USER I always strike lawyers. I served on a jury (civil) and the jury wanted me to decide the case and kept asking me to explain jury instructions. My take away is that the lawyer may hold too much sway in deliberations. But if he or she is on your side.....,0,0,0,always strike lawyers served jury civil jury wanted decide case kept asking explain jury instructions take away lawyer may hold much sway deliberations side,always strike lawyers served jury civil jury wanted decide case kept asking explain jury instructions take away lawyer may hold much sway deliberations side,alway strike lawyer serv juri civil juri want decid case kept ask explain juri instruct take away lawyer may hold much sway deliber side,always strike lawyer served jury civil jury wanted decide case kept asking explain jury instruction take away lawyer may hold much sway deliberation side,51,0,-0.128,-1,0.2,0.2,1,Objective,-1
1831,43641,"23:70 Or do they say, He is possessed""? Nay, he has brought them the Truth, but most of them hate the Truth.""",1,2,3,say possessed nay brought truth hate truth,say possessed nay brought truth hate truth,say possess nay brought truth hate truth,say possessed nay brought truth hate truth,22,0,-0.0258,0,-0.8,0.9,-1,Subjective,0
1889,16868,@USER I've seen these big chairs but the look on your face and the pose makes me laugh. Somehow I believe that was all purposely orcastrated by you Boots! You are so silly,1,2,1,seen big chairs look face pose makes laugh somehow believe purposely orcastrated boots silly,seen big chairs look face pose makes laugh somehow believe purposely orcastrated boots silly,seen big chair look face pose make laugh somehow believ purpos orcastr boot silli,seen big chair look face pose make laugh somehow believe purposely orcastrated boot silly,33,2,0.5719,1,-0.066666667,0.358333333,-1,Objective,0
1941,92849,@USER She sounds amazing and it's a bloody disgrace that she is mostly forgotten.,0,0,0,sounds amazing bloody disgrace mostly forgotten,sounds amazing bloody disgrace mostly forgotten,sound amaz bloodi disgrac most forgotten,sound amazing bloody disgrace mostly forgotten,14,0,-0.4939,-1,0.1,0.766666667,1,Subjective,0
2005,21536,@USER TICK TOCK SWAMP !! YOUR GOING TO JAIL VERY SOON !! #MAGA,1,2,1,tick tock swamp going jail soon,tick tock swamp going jail soon,tick tock swamp go jail soon,tick tock swamp going jail soon,13,0,0.0,0,-0.1,0.0,-1,Objective,0
2013,52018,@USER @USER She is probs busy over school or something,0,0,0,probs busy school something,probs busy school something,prob busi school someth,probs busy school something,10,2,0.0,0,0.1,0.3,1,Objective,0
2017,25988,Project Veritas Footage Released of Socialist State Department Worker  URL #MAGA #KAG2020 #TCOT #TeaParty #PJNET #WinBlue2018 #UniteBlue2018 #Resist  CLEAR Hatch Act violation: FELONY. Indict this SOB!,0,0,0,project veritas footage released socialist state department worker  clear hatch act violation felony indict sob,project veritas footage released socialist state department worker clear hatch act violation felony indict sob,project verita footag releas socialist state depart worker clear hatch act violat feloni indict sob,project veritas footage released socialist state department worker clear hatch act violation felony indict sob,26,2,-0.7269,-1,0.1,0.383333333,1,Objective,0
2042,77602,@USER @USER @USER @USER @USER Timing? They had this info in their laps? You betcha. THAT'S the chess game of politics. Nothing new here. Use things to your advantage when you need them. Doesn't make them untrue. 🤨,0,0,0,timing info laps betcha chess game politics nothing new use things advantage need make untrue,timing info laps betcha chess game politics nothing new use things advantage need make untrue,time info lap betcha chess game polit noth new use thing advantag need make untru,timing info lap betcha chess game politics nothing new use thing advantage need make untrue,38,1,0.25,1,-0.131818182,0.427272727,-1,Objective,0
2069,46843,@USER Can’t she appeal. ? This is all kinds of wrong . If I were ES@USER would beat the sh** out of her.,1,2,1,appeal kinds wrong would beat,appeal kinds wrong would beat,appeal kind wrong would beat,appeal kind wrong would beat,23,1,0.0772,1,-0.5,0.9,-1,Subjective,-1
2082,63532,@USER @USER @USER @USER @USER @USER Sir it comes to something when you present a lie as a fact.... Have you no shame? This is the fact 65% of labour voters voted to Remain. Ref YouGov polls. Your position is based on a false premise......have a nice day,0,0,0,sir comes something present lie fact shame fact labour voters voted remain ref yougov polls position based false premise nice day,sir comes something present lie fact shame fact labour voters voted remain ref yougov polls position based false premise nice day,sir come someth present lie fact shame fact labour voter vote remain ref yougov poll posit base fals premis nice day,sir come something present lie fact shame fact labour voter voted remain ref yougov poll position based false premise nice day,48,0,-0.0772,-1,0.066666667,0.533333333,1,Subjective,0
2087,23240,@USER Georgia University...your racism and utter lack of tolerance is showing. Higher education is apparently not your goal.,1,1,0,georgia university racism utter lack tolerance showing higher education apparently goal,georgia university racism utter lack tolerance showing higher education apparently goal,georgia univers racism utter lack toler show higher educ appar goal,georgia university racism utter lack tolerance showing higher education apparently goal,18,2,-0.6387,-1,0.1,0.616666667,1,Subjective,0
2146,57902,@USER *fingers crossed* she is enjoying school but going...konjam sad and little tears.  no tanrums though...,0,0,0,fingers crossed enjoying school going konjam sad little tears tanrums though,fingers crossed enjoying school going konjam sad little tears tanrums though,finger cross enjoy school go konjam sad littl tear tanrum though,finger crossed enjoying school going konjam sad little tear tanrums though,16,2,0.0772,1,-0.0625,0.7,-1,Subjective,0
2156,80239,@USER Despicable is a world that only goes half way of describing maxine,0,0,0,despicable world goes half way describing maxine,despicable world goes half way describing maxine,despic world goe half way describ maxin,despicable world go half way describing maxine,13,1,0.0,0,-0.166666667,0.166666667,-1,Objective,0
2161,96132,@USER Becoming what?  Besides a multi-millionaire?,0,0,0,becoming besides multi millionaire,becoming besides multi millionaire,becom besid multi millionair,becoming besides multi millionaire,6,0,0.0,0,0.45,0.85,1,Subjective,0
2179,18240,@USER I knew he will b dead 🤣🤣 He is brave 🤣🤣🤣,1,2,1,knew dead brave,knew dead brave,knew dead brave,knew dead brave,12,0,-0.2263,-1,0.3,0.7,1,Subjective,-1
2199,77941,@USER @USER NOW is the time to begin scheduling SUNDAY COLLEGE football games! You can push these America-phobes and police haters right off the ratings cliff!  #NCAAonSundays!!,0,0,0,time begin scheduling sunday college football games push america phobes police haters right ratings cliff,time begin scheduling sunday college football games push america phobes police haters right ratings cliff,time begin schedul sunday colleg footbal game push america phobe polic hater right rate cliff,time begin scheduling sunday college football game push america phobes police hater right rating cliff,27,2,-0.4215,-1,0.285714286,0.535714286,1,Subjective,0
2236,34572,"@USER And that's when you say:  Well I wanted to take care of you, but if you're going to make that impossible, I guess you are on your own.  I think I'll have a steak.""""",0,0,0,say well wanted take care going make impossible guess think steak,say well wanted take care going make impossible guess think steak,say well want take care go make imposs guess think steak,say well wanted take care going make impossible guess think steak,35,1,0.6486,1,-0.666666667,1.0,-1,Subjective,0
2249,59147,@USER The upside of manga is it can be real cheap. Downside is you might get swallowed up by a 400 part series,0,0,0,upside manga real cheap downside might get swallowed 400 part series,upside manga real cheap downside might get swallowed 400 part series,upsid manga real cheap downsid might get swallow 400 part seri,upside manga real cheap downside might get swallowed 400 part series,23,0,-0.25,-1,0.6,1.0,1,Subjective,0
2321,45735,@USER Breitbart has become neocon Establishment and is Fake News the worst of the lot is Alex Marlow a total loser . Watch or listen to Fault Lines with Stranahahn and Nixon instead probably the best show of its kind. Stranahahn fired by Breitbart for being too good.,1,1,0,breitbart become neocon establishment fake news worst lot alex marlow total loser watch listen fault lines stranahahn nixon instead probably best show kind stranahahn fired breitbart good,breitbart become neocon establishment fake news worst lot alex marlow total loser watch listen fault lines stranahahn nixon instead probably best show kind stranahahn fired breitbart good,breitbart becom neocon establish fake news worst lot alex marlow total loser watch listen fault line stranahahn nixon instead probabl best show kind stranahahn fire breitbart good,breitbart become neocon establishment fake news worst lot alex marlow total loser watch listen fault line stranahahn nixon instead probably best show kind stranahahn fired breitbart good,48,2,-0.7713,-1,0.133333333,0.758333333,1,Subjective,-1
2342,25171,@USER Or a connection or motive between the two because it wasn’t a random shooting.,1,0,0,connection motive two random shooting,connection motive two random shooting,connect motiv two random shoot,connection motive two random shooting,15,1,0.0,0,-0.5,0.5,-1,Objective,-1
2353,93594,@USER @USER @USER @USER @USER Looks less like she is getting $200 dinners a day and more like she's getting 200 dinners a day,0,0,0,looks less like getting dinners day like getting 200 dinners day,looks less like getting dinners day like getting 200 dinners day,look less like get dinner day like get 200 dinner day,look less like getting dinner day like getting 200 dinner day,24,2,0.5729,1,-0.166666667,0.066666667,-1,Objective,0
2467,56101,@USER Ha! Compared to whom? Kerry? Obama? Clinton? Booker? Harris? REALLY?,0,0,0,compared kerry obama clinton booker harris really,compared kerry obama clinton booker harris really,compar kerri obama clinton booker harri realli,compared kerry obama clinton booker harris really,11,0,0.0,0,0.2,0.2,1,Objective,0
2486,56704,"@USER @USER Sure , because THEY are being exposed for their filth &amp; constant coverups of ABUSE! Why do a vow of celibacy &amp; purity?"" Maybe, its just a giant sleaze fest at the Vatican &amp; elsewhere. Just Join the priesthood if your a pedo, so you can have permission to abuse?? #TruthJustice""",1,0,0,sure exposed filth constant coverups abuse vow celibacy purity maybe giant sleaze fest vatican elsewhere join priesthood pedo permission abuse,sure exposed filth constant coverups abuse vow celibacy purity maybe giant sleaze fest vatican elsewhere join priesthood pedo permission abuse,sure expos filth constant coverup abus vow celibaci puriti mayb giant sleaz fest vatican elsewher join priesthood pedo permiss abus,sure exposed filth constant coverups abuse vow celibacy purity maybe giant sleaze fest vatican elsewhere join priesthood pedo permission abuse,53,0,-0.7351,-1,0.166666667,0.740740741,1,Subjective,-1
2540,58763,@USER Right on Shaft. He is SHAFTICUS !,0,0,0,right shaft shafticus,right shaft shafticus,right shaft shafticus,right shaft shafticus,8,2,0.0,0,0.285714286,0.535714286,1,Subjective,0
2567,55891,@USER I have never Skyped with Wa before if you are interested in Skyping with ct! Message me!,0,0,0,never skyped interested skyping message,never skyped interested skyping message,never skype interest skype messag,never skyped interested skyping message,18,0,-0.3089,-1,0.25,0.5,1,Objective,0
2572,87038,@USER Hopefully this kind of outrageous behavior will motivate Senator Collins to vote FOR the appointment of Judge Kavanaugh.  Disgraceful libtards.,0,0,0,hopefully kind outrageous behavior motivate senator collins vote appointment judge kavanaugh disgraceful libtards,hopefully kind outrageous behavior motivate senator collins vote appointment judge kavanaugh disgraceful libtards,hope kind outrag behavior motiv senat collin vote appoint judg kavanaugh disgrac libtard,hopefully kind outrageous behavior motivate senator collins vote appointment judge kavanaugh disgraceful libtards,21,1,0.6908,1,-0.2,0.95,-1,Subjective,0
2580,48562,@USER Brian so sorry for your loss But she is probably with Grandpa looking down on all of you with a huge smile So sorry but God wanted her to,0,0,0,brian sorry loss probably grandpa looking huge smile sorry god wanted,brian sorry loss probably grandpa looking huge smile sorry god wanted,brian sorri loss probabl grandpa look huge smile sorri god want,brian sorry loss probably grandpa looking huge smile sorry god wanted,30,2,0.4588,1,-0.075,0.75,-1,Subjective,0
2606,24868,"...those who stayed put over the past 12 months-according 2 the Federal Reserve Bank of Atlanta."" #MAGA""",0,0,0,stayed put past months according federal reserve bank atlanta,stayed put past months according federal reserve bank atlanta,stay put past month accord feder reserv bank atlanta,stayed put past month according federal reserve bank atlanta,17,2,0.0,0,-0.25,0.25,-1,Objective,0
2627,71616,@USER Blatantly Lie Much,0,0,0,blatantly lie much,blatantly lie much,blatant lie much,blatantly lie much,4,2,0.0,0,-0.15,0.35,-1,Objective,0
2664,75075,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER It really pisses them off 🤗,0,0,0,really pisses,really pisses,realli piss,really piss,47,0,-0.4576,-1,0.2,0.2,1,Objective,0
2697,63914,@USER @USER @USER @USER I completely believe she will be in GTMO. She is a traitor.,1,2,1,completely believe gtmo traitor,completely believe gtmo traitor,complet believ gtmo traitor,completely believe gtmo traitor,16,2,0.0,0,0.1,0.4,1,Objective,-1
2708,44731,@USER @USER Oh I do dream big. I always do. #MAGA And name calling is pretty lame. 🙄 #tcot #p2 URL,0,0,0,dream big always name calling pretty lame ,dream big always name calling pretty lame,dream big alway name call pretti lame,dream big always name calling pretty lame,21,2,0.34,1,-0.083333333,0.616666667,-1,Subjective,0
2716,88357,@USER Do you have any idea how old he is?,0,0,0,idea old,idea old,idea old,idea old,10,2,0.0,0,0.1,0.2,1,Objective,0
2727,26387,@USER Doubt he is losing much sleep over it. The guy has been a busted flush for 30 years,1,1,0,doubt losing much sleep guy busted flush years,doubt losing much sleep guy busted flush years,doubt lose much sleep guy bust flush year,doubt losing much sleep guy busted flush year,19,2,-0.6249,-1,0.2,0.2,1,Objective,-1
2744,20415,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are too modest 😜,0,0,0,modest,modest,modest,modest,26,0,0.0,0,0.1,0.9,1,Subjective,0
2777,75212,@USER it's different when they are trying to argue with you why you are wrong for believing in a different god. i'm all for respecting their religion but i deserve respect back,0,0,0,different trying argue wrong believing different god respecting religion deserve respect back,different trying argue wrong believing different god respecting religion deserve respect back,differ tri argu wrong believ differ god respect religion deserv respect back,different trying argue wrong believing different god respecting religion deserve respect back,32,2,0.4404,1,-0.125,0.525,-1,Subjective,0
2781,25024,@USER Epic fail on that front.  Hopefully she will succeed in the future.,0,0,0,epic fail front hopefully succeed future,epic fail front hopefully succeed future,epic fail front hope succeed futur,epic fail front hopefully succeed future,13,0,0.34,1,-0.133333333,0.275,-1,Objective,0
2792,87143,@USER @USER I turn the tv off when Juan speaks. He is a real sicko.,1,2,1,turn juan speaks real sicko,turn juan speaks real sicko,turn juan speak real sicko,turn juan speaks real sicko,15,2,0.0,0,0.2,0.3,1,Objective,-1
2798,89985,@USER Hey Doug. We had a large amount of contacts recently. We apologize for any inconvenience this may cause you. Are you referring to your tweet about the blue screen crash on PS4?,1,0,0,hey doug large amount contacts recently apologize inconvenience may cause referring tweet blue screen crash ps4,hey doug large amount contacts recently apologize inconvenience may cause referring tweet blue screen crash ps4,hey doug larg amount contact recent apolog inconveni may caus refer tweet blue screen crash ps4,hey doug large amount contact recently apologize inconvenience may cause referring tweet blue screen crash ps4,33,2,-0.5859,-1,0.071428571,0.25952381,1,Objective,-1
2811,27391,@USER Exactly so shut up,1,2,1,exactly shut,exactly shut,exact shut,exactly shut,5,0,0.0,0,0.25,0.25,1,Objective,-1
2832,52978,North Korea is being dealt with! NSA hackers have targeted my determined friend (Kim Sonnuva-Gun)'s computers with a virus that prevents you from killing any active process until it runs to completion: no quitters allowed #MAGA,0,0,0,north korea dealt nsa hackers targeted determined friend kim sonnuva gun computers virus prevents killing active process runs completion quitters allowed,north korea dealt nsa hackers targeted determined friend kim sonnuva gun computers virus prevents killing active process runs completion quitters allowed,north korea dealt nsa hacker target determin friend kim sonnuva gun comput virus prevent kill activ process run complet quitter allow,north korea dealt nsa hacker targeted determined friend kim sonnuva gun computer virus prevents killing active process run completion quitter allowed,36,0,0.2023,1,-0.133333333,0.6,-1,Subjective,0
